,description,eye_color,hair_color,sex
11854,A young Indian-looking woman with brown hair and brown eyes with make-up around them. Her lips are thin and her upper teeth are visible. She is wearing a pair of hoop earrings,,,
11855,"A focused white woman with long wavy brown hair, brown eyes",,,
11856,"A tanned woman with blonde hair, a fringe, brown eyebrows, brown eyes, a petite nose and thin lips.",,,
11857,"A dark-skinned man with a rectangular face and short black hair. He has dark brown eyes, a large nose, a moustache, thick lips, high cheek-bones and a well-defined jawline.",,,
11858,"A young man with short, straight ginger hair. He has a large nose.",,,
11859,A young boy with short brown hair and small dark eyes. His nose is sharp and his lips are thin and small. He looks serious,,,
11860,"A young man with short hair, dark eyes, a pointed nose and thin lips",,,
11861,"A pale, Asian woman with neatly tied back dark-brown hair, thick eyebrows, full cheeks and a wide smile.",,,
11862,A young Chinese-looking girl with brown hair pulled up and small dark eyes with dark make-up around them. Her nose is small and her lips are thin. Her upper teeth are visible and she is smiling.,,,
11863,"A smiling Asian woman with pulled back brown hair, brown eyes",,,
11864,A grinning young woman who has medium-length brunette hair. She has a round face and is wearing large hoop earrings.,,,
11865,A young woman with short brown hair and small dark eyes. Her nose is small and her lips are stretched into a smile. She is wearing a pair of big hoop earrings.,,,
11866,A smiling white woman with shirt wavy brown hair and brown eyes,,,
11867,"this man has short black hair, rounded eyebrows and small brown eyes, his nose is pointed and his lips are thin",,,
11868,A middle-aged man with light complexion. His hair is short and wrinkles seem to have started appearing on his forehead. His eyebrows are rather wide and their shade causes his eyes to be somewhat concealed. His nose is small and his lips are thin. The man seems to be speaking.,,,
11869,"A man with short hair, dark eyes, a big nose and thin lips",,,
11870,"A man with a fair complexion, youthful skin, light brown spiky hair and a clean-shaven face. He has light brown beady eyes, a droopy nose, high cheek-bones, thin lips and a chiselled jawline.",,,
11871,"A pale man with thick eyebrows, dark eyes, a plump face and a prominent chin. He is wearing a grey flat cap.",,,
11872,A young man wearing a beret. His eyes are brown and his nose is narrow. His lips are thin and small. Hints of a stubble beard can be seen on his face. He has got a well-defined jawline.,,,
11873,A grinning white man with brown eyes and a defined chin,,,
11874,"A serious looking white man with short wavy brown hair, brown eyes and long pointy nose",,,
11875,This man has short brown hair and a full beard. He also has a long nose.,,,
11876,A middle-aged man with short hair and small eyes. He has got a straight nose and a full grown beard including a moustache. He has got a heavy lower lip.,,,
11877,"A man with short hair, dark eyes, a long nose, thin lips and a beard",,,
11878,"An old white man with a small rounded face, deep light-blue eyes and thin lips. He has white hair and large ears. He has some wrinkles around his eyes and is smiling.",,,
11879,A middle-aged man with short hair and a receding hairline. His skin seems wrinkled. His eyes are dark and big and his lips are thin.,,,
11880,"A man with short hair, dark eyes, a small nose and thin lips",,,
11881,"A man with short, black hair, thick eyebrows, full lips, soft features and slight stubble on his chin and upper lip.",,,
11882,A young man with short dark-coloured hair and small dark eyes. His lips are thin and a stubble is growing around them. The boy's earrings are pierced. He seems indifferent,,,
11883,"A young man with short hair, blue eyes, a small nose and thin lips",,,
11884,"A fair man with a rectangular face and a chiselled jawline. He has silver hair, well-defined eyebrows, light-coloured slit eyes, a straight nose and pristine teeth. He has a moustache, goatee and beard ans is smiling.",,,
11885,"A woman with a large oblong face, radiant skin and glossy jet-black hair. She has a heavy fringe covering her forehead, large dark brown eyes, a straight nose, plump cheeks and full lips. She is smiling.",,,
11886,"A man with short hair, blue eyes, a small nose and thin lips",,,
11887,"A smiling, young black man with a shaved head, a round face  a large nose, small ears and a wide smile.",,,
11888,"A happy looking chubby fat boy with very short black hair, brown eyes  and a wide nose",,,
11889,"A woman with long, slightly curly, blond hair and dark roots. She has thin eyebrows, dark eyes, full cheeks and a strong jawline. She is wearing light makeup and smiling.",,,
11890,A young girl with blonde hair and brown roots. Her eyes are dark-coloured and there is black make-up around them. Her nose is small and her lips are thin. Her upper teeth are visible and she is smiling,,,
11891,"A grinning white woman with long wavy blonde hair, brown eyes",,,
11892,"A woman with a round face, radiant skin and shiny black hair. She has thin arched eyebrows, dark brown eyes, a button nose, plump cheeks, glossy lips and pristine teeth. She is smiling.",,,
11893,"this woman has long brown hair, arched eyebrows and small brown eyes her nose is pointed and her lips are thin",,,
11894,"this man has brown hair, rounded eyebrows and small eyes. His nose is short and his lips are thin and he has a little of a beard shown",,,
11895,This man has short black hair and a unibrow. His eyes are brown and his nose is long and his lips seem to be glossy,,,
11896,"A white woman with blonde hair, thin brown eyebrows, grey eyes, a slender nose and plump lips.",,,
11897,A middle-aged man with short dark hair and big dark eyes. His nose is big and his lips are thin and they are set in a straight line. Marks of a stubble beard can be seen on his face. He has got a square jaw,,,
11898,"A confused looking white man with short black hair, long nose and brown eyes",,,
11899,A young woman with dark brown hair dyed in a light shade of brown at the ends. Her eyes are dark-coloured and her lips are thin. Her upper teeth are visible. She is wearing a pair of earrings.,,,
11900,"A tanned white woman with long light brown hair, brown eyes and a long nose",,,
11901,"A woman with a strong jaw and a pointed chin, a bright, dimpled smile and thick, sculpted eyebrows. She is wearing makeup and she has long, wavy, brunette hair.",,,
11902,"A smiling woman with long, brown hair",,,
11903,A woman with medium-length copper hair and a curtain fringe. Her eyes are dark-coloured and small and her lips are thin. Her lips are parted into a smile and her upper teeth are visible. She has got an oval face. She is wearing a pair of hoop earrings.,,,
11904,"A smiling aging white woman with long orange hair, brown eyes and a long thin nose",,,
11905,"A blonde woman with an elongated face, a large forehead, large green eyes and thin lips. He is wearing hoop earrings and has glowing skin.",,,
11906,"A woman with an oblong narrows face, hallow cheeks, sparkly green eyes and a narrow droopy nose. She has long straight brown hair, a glowing complexion and is smiling.",,,
11907,"A young girl with long brown hair, blue eyes, a small nose and thin lips. She has got a beauty spot above her lips. Her jawline is well-defined",,,
11908,"A young woman with long hair, blue eyes, a small nose and thin lips",,,
11909,"this man has messy blonde hair, he has arched eyebrows and small dark brown eyes. his nose is pointed and his lips are small",,,
11910,"this woman has styled her blond hair, she has thin eyebrows and she is squinting her eyes, her nose is pointed had her lips are thin",,,
11911,"A bald white man with a full goatee, thick eyebrows and a defined jawline. He is wearing glasses.",,,
11912,"A man with a pale complexion, a square-shaped face and a short stubble and moustache. He has thick eyebrows, brown down-turned eyes, a small nose and full lips. He is wearing a cap.",,,
11913,"A bald, old man with a scraggly beard, full lips, a long nose, and a wrinkly face with droopy features.",,,
11914,A bald old man with wrinkles on his forehead. He has got light brown eyebrows and a grey-white beard. His eyes are small and they are dark-coloured. His eyelids look as though they are a little ħswollen.,,,
11915,A grinning bald aging white man with brown eyes and a greying-brown beard,,,
11916,"A pale woman with long, straight, light-brown hair, thick eyebrows, dark eyes, full lips and light makeup.",,,
11917,"A white face with shoulder length straight shiny brown hair, small nose and smiling lips with pink lipstick.",,,
11918,"A smiling pale white woman with pulled back brown hair, brown eyes and pink lips",,,
11919,"A black man with shaved hair, thick eyebrows, narrow eyes and a goatee. He haas a wide nose, full lips and prominent cheekbones.",,,
